Station Name,Date.Time,Year,Month,Total.Rain..mm.
PORT HARDY A,Jan-90,1990,1,309.1
PORT HARDY A,Feb-90,1990,2,188
PORT HARDY A,Mar-90,1990,3,86.5
PORT HARDY A,Apr-90,1990,4,76.3
PORT HARDY A,May-90,1990,5,53.5
PORT HARDY A,Jun-90,1990,6,130.5
PORT HARDY A,Jul-90,1990,7,15.2
PORT HARDY A,Aug-90,1990,8,61
PORT HARDY A,Sep-90,1990,9,38.9
PORT HARDY A,Oct-90,1990,10,464
PORT HARDY A,Nov-90,1990,11,480.7
PORT HARDY A,Dec-90,1990,12,275.1
PORT HARDY A,Jan-91,1991,1,146.3
PORT HARDY A,Feb-91,1991,2,204.5
PORT HARDY A,Mar-91,1991,3,81.2
PORT HARDY A,Apr-91,1991,4,90.2
PORT HARDY A,May-91,1991,5,47.9
PORT HARDY A,Jun-91,1991,6,46
PORT HARDY A,Jul-91,1991,7,91.9
PORT HARDY A,Aug-91,1991,8,146
PORT HARDY A,Sep-91,1991,9,19.2
PORT HARDY A,Oct-91,1991,10,109.8
PORT HARDY A,Nov-91,1991,11,356.5
PORT HARDY A,Dec-91,1991,12,395.2
PORT HARDY A,Jan-92,1992,1,456.1
PORT HARDY A,Feb-92,1992,2,169.1
PORT HARDY A,Mar-92,1992,3,35.6
PORT HARDY A,Apr-92,1992,4,97.7
PORT HARDY A,May-92,1992,5,85.9
PORT HARDY A,Jun-92,1992,6,67.2
PORT HARDY A,Jul-92,1992,7,11.2
PORT HARDY A,Aug-92,1992,8,73.1
PORT HARDY A,Sep-92,1992,9,154
PORT HARDY A,Oct-92,1992,10,298.7
PORT HARDY A,Nov-92,1992,11,266.9
PORT HARDY A,Dec-92,1992,12,189.8
PORT HARDY A,Jan-93,1993,1,115.4
PORT HARDY A,Feb-93,1993,2,14.4
PORT HARDY A,Mar-93,1993,3,235
PORT HARDY A,Apr-93,1993,4,115.2
PORT HARDY A,May-93,1993,5,122
PORT HARDY A,Jun-93,1993,6,139.8
PORT HARDY A,Jul-93,1993,7,30.8
PORT HARDY A,Aug-93,1993,8,79.5
PORT HARDY A,Sep-93,1993,9,8.7
PORT HARDY A,Oct-93,1993,10,108.2
PORT HARDY A,Nov-93,1993,11,282.2
PORT HARDY A,Dec-93,1993,12,257
PORT HARDY A,Jan-94,1994,1,149.4
PORT HARDY A,Feb-94,1994,2,236
PORT HARDY A,Mar-94,1994,3,171.1
PORT HARDY A,Apr-94,1994,4,126.6
PORT HARDY A,May-94,1994,5,49.8
PORT HARDY A,Jun-94,1994,6,56.2
PORT HARDY A,Jul-94,1994,7,36.6
PORT HARDY A,Aug-94,1994,8,71.6
PORT HARDY A,Sep-94,1994,9,178.8
PORT HARDY A,Oct-94,1994,10,357.5
PORT HARDY A,Nov-94,1994,11,372.9
PORT HARDY A,Dec-94,1994,12,368.1
PORT HARDY A,Jan-95,1995,1,134.2
PORT HARDY A,Feb-95,1995,2,118
PORT HARDY A,Mar-95,1995,3,116.8
PORT HARDY A,Apr-95,1995,4,76.7
PORT HARDY A,May-95,1995,5,27.4
PORT HARDY A,Jun-95,1995,6,60.4
PORT HARDY A,Jul-95,1995,7,94.6
PORT HARDY A,Aug-95,1995,8,69
PORT HARDY A,Sep-95,1995,9,46.6
PORT HARDY A,Oct-95,1995,10,385.2
PORT HARDY A,Nov-95,1995,11,475
PORT HARDY A,Dec-95,1995,12,247.8
PORT HARDY A,Jan-96,1996,1,390.6
PORT HARDY A,Feb-96,1996,2,147.4
PORT HARDY A,Mar-96,1996,3,75.8
PORT HARDY A,Apr-96,1996,4,244.8
PORT HARDY A,May-96,1996,5,69.2
PORT HARDY A,Jun-96,1996,6,67
PORT HARDY A,Jul-96,1996,7,34.2
PORT HARDY A,Aug-96,1996,8,86.5
PORT HARDY A,Sep-96,1996,9,96.8
PORT HARDY A,Oct-96,1996,10,324
PORT HARDY A,Nov-96,1996,11,201.4
PORT HARDY A,Dec-96,1996,12,307.8
PORT HARDY A,Jan-97,1997,1,236.2
PORT HARDY A,Feb-97,1997,2,150.6
PORT HARDY A,Mar-97,1997,3,250.4
PORT HARDY A,Apr-97,1997,4,155.8
PORT HARDY A,May-97,1997,5,127
PORT HARDY A,Jun-97,1997,6,115.8
PORT HARDY A,Jul-97,1997,7,74.4
PORT HARDY A,Aug-97,1997,8,109.7
PORT HARDY A,Sep-97,1997,9,157
PORT HARDY A,Oct-97,1997,10,405
PORT HARDY A,Nov-97,1997,11,260.4
PORT HARDY A,Dec-97,1997,12,506.8
PORT HARDY A,Jan-98,1998,1,282
PORT HARDY A,Feb-98,1998,2,162
PORT HARDY A,Mar-98,1998,3,111
PORT HARDY A,Apr-98,1998,4,87.1
PORT HARDY A,May-98,1998,5,44.8
PORT HARDY A,Jun-98,1998,6,59.8
PORT HARDY A,Jul-98,1998,7,55.8
PORT HARDY A,Aug-98,1998,8,53.8
PORT HARDY A,Sep-98,1998,9,61.2
PORT HARDY A,Oct-98,1998,10,212.6
PORT HARDY A,Nov-98,1998,11,283
PORT HARDY A,Dec-98,1998,12,371.6
PORT HARDY A,Jan-99,1999,1,329.8
PORT HARDY A,Feb-99,1999,2,366.5
PORT HARDY A,Mar-99,1999,3,174
PORT HARDY A,Apr-99,1999,4,129.5
PORT HARDY A,May-99,1999,5,90.6
PORT HARDY A,Jun-99,1999,6,94.6
PORT HARDY A,Jul-99,1999,7,17.4
PORT HARDY A,Aug-99,1999,8,77.8
PORT HARDY A,Sep-99,1999,9,87.6
PORT HARDY A,Oct-99,1999,10,175.6
PORT HARDY A,Nov-99,1999,11,296.6
PORT HARDY A,Dec-99,1999,12,200.6
PORT HARDY A,Jan-00,2000,1,134.1
PORT HARDY A,Feb-00,2000,2,105.6
PORT HARDY A,Mar-00,2000,3,154.1
PORT HARDY A,Apr-00,2000,4,111
PORT HARDY A,May-00,2000,5,95.3
PORT HARDY A,Jun-00,2000,6,85.5
PORT HARDY A,Jul-00,2000,7,74.1
PORT HARDY A,Aug-00,2000,8,95
PORT HARDY A,Sep-00,2000,9,103
PORT HARDY A,Oct-00,2000,10,225.7
PORT HARDY A,Nov-00,2000,11,185.5
PORT HARDY A,Dec-00,2000,12,140.2
