Station Name,Date.Time,Year,Month,Total.Rain..mm.
TOFINO A,Jan-91,1991,1,361.2
TOFINO A,Feb-91,1991,2,435.8
TOFINO A,Mar-91,1991,3,186.4
TOFINO A,Apr-91,1991,4,242.6
TOFINO A,May-91,1991,5,148.8
TOFINO A,Jun-91,1991,6,68.6
TOFINO A,Jul-91,1991,7,86.8
TOFINO A,Aug-91,1991,8,351
TOFINO A,Sep-91,1991,9,5.4
TOFINO A,Oct-91,1991,10,55.2
TOFINO A,Nov-91,1991,11,649.6
TOFINO A,Dec-91,1991,12,602
TOFINO A,Jan-92,1992,1,757.4
TOFINO A,Feb-92,1992,2,297.4
TOFINO A,Mar-92,1992,3,56.6
TOFINO A,Apr-92,1992,4,251.9
TOFINO A,May-92,1992,5,59
TOFINO A,Jun-92,1992,6,65.8
TOFINO A,Jul-92,1992,7,8.6
TOFINO A,Aug-92,1992,8,71.6
TOFINO A,Sep-92,1992,9,170.8
TOFINO A,Oct-92,1992,10,426.8
TOFINO A,Nov-92,1992,11,414.8
TOFINO A,Dec-92,1992,12,337.8
TOFINO A,Jan-93,1993,1,435.2
TOFINO A,Feb-93,1993,2,74.8
TOFINO A,Mar-93,1993,3,444.6
TOFINO A,Apr-93,1993,4,393.4
TOFINO A,May-93,1993,5,273.4
TOFINO A,Jun-93,1993,6,126.4
TOFINO A,Jul-93,1993,7,35.2
TOFINO A,Aug-93,1993,8,158.2
TOFINO A,Sep-93,1993,9,3.2
TOFINO A,Oct-93,1993,10,157.2
TOFINO A,Nov-93,1993,11,235.8
TOFINO A,Dec-93,1993,12,507
TOFINO A,Jan-94,1994,1,317
TOFINO A,Feb-94,1994,2,509.8
TOFINO A,Mar-94,1994,3,228.6
TOFINO A,Apr-94,1994,4,209.4
TOFINO A,May-94,1994,5,157.4
TOFINO A,Jun-94,1994,6,196.6
TOFINO A,Jul-94,1994,7,12.2
TOFINO A,Aug-94,1994,8,38.4
TOFINO A,Sep-94,1994,9,196.6
TOFINO A,Oct-94,1994,10,296
TOFINO A,Nov-94,1994,11,642.6
TOFINO A,Dec-94,1994,12,529.4
TOFINO A,Jan-95,1995,1,394.2
TOFINO A,Feb-95,1995,2,351.2
TOFINO A,Mar-95,1995,3,285.2
TOFINO A,Apr-95,1995,4,195.4
TOFINO A,May-95,1995,5,52.4
TOFINO A,Jun-95,1995,6,97
TOFINO A,Jul-95,1995,7,71.2
TOFINO A,Aug-95,1995,8,69.2
TOFINO A,Sep-95,1995,9,81.8
TOFINO A,Oct-95,1995,10,542.4
TOFINO A,Nov-95,1995,11,786.6
TOFINO A,Dec-95,1995,12,434.8
TOFINO A,Jan-96,1996,1,437.6
TOFINO A,Feb-96,1996,2,243.2
TOFINO A,Mar-96,1996,3,232
TOFINO A,Apr-96,1996,4,497.4
TOFINO A,May-96,1996,5,104.8
TOFINO A,Jun-96,1996,6,81.4
TOFINO A,Jul-96,1996,7,40.4
TOFINO A,Aug-96,1996,8,80.6
TOFINO A,Sep-96,1996,9,180.6
TOFINO A,Oct-96,1996,10,522
TOFINO A,Nov-96,1996,11,313.2
TOFINO A,Dec-96,1996,12,394.8
TOFINO A,Jan-97,1997,1,542.6
TOFINO A,Feb-97,1997,2,244.4
TOFINO A,Mar-97,1997,3,496.4
TOFINO A,Apr-97,1997,4,320.4
TOFINO A,May-97,1997,5,170.6
TOFINO A,Jun-97,1997,6,269
TOFINO A,Jul-97,1997,7,109
TOFINO A,Aug-97,1997,8,110
TOFINO A,Sep-97,1997,9,323.6
TOFINO A,Oct-97,1997,10,491.4
TOFINO A,Nov-97,1997,11,411
TOFINO A,Dec-97,1997,12,715.2
TOFINO A,Jan-98,1998,1,567.8
TOFINO A,Feb-98,1998,2,461.2
TOFINO A,Mar-98,1998,3,251.6
TOFINO A,Apr-98,1998,4,83
TOFINO A,May-98,1998,5,114.2
TOFINO A,Jun-98,1998,6,42
TOFINO A,Jul-98,1998,7,132.8
TOFINO A,Aug-98,1998,8,19
TOFINO A,Sep-98,1998,9,56.4
TOFINO A,Oct-98,1998,10,316.2
TOFINO A,Nov-98,1998,11,560.6
TOFINO A,Dec-98,1998,12,742.6
TOFINO A,Jan-99,1999,1,524.8
TOFINO A,Feb-99,1999,2,784.3
TOFINO A,Mar-99,1999,3,366.4
TOFINO A,Apr-99,1999,4,165
TOFINO A,May-99,1999,5,107.6
TOFINO A,Jun-99,1999,6,166.2
TOFINO A,Jul-99,1999,7,8.2
TOFINO A,Aug-99,1999,8,110.6
TOFINO A,Sep-99,1999,9,74.4
TOFINO A,Oct-99,1999,10,277.3
TOFINO A,Nov-99,1999,11,550.4
TOFINO A,Dec-99,1999,12,544.1
TOFINO A,Jan-00,2000,1,361.9
TOFINO A,Feb-00,2000,2,264
TOFINO A,Mar-00,2000,3,381
TOFINO A,Apr-00,2000,4,238.8
TOFINO A,May-00,2000,5,211.4
TOFINO A,Jun-00,2000,6,154.2
TOFINO A,Jul-00,2000,7,151.4
TOFINO A,Aug-00,2000,8,73.4
TOFINO A,Sep-00,2000,9,195.2
TOFINO A,Oct-00,2000,10,283.6
TOFINO A,Nov-00,2000,11,261.8
TOFINO A,Dec-00,2000,12,322.5
