Station Name,Date.Time,Year,Month,Total.Rain..mm.
VANCOUVER INT'L A,Jan-91,1991,1,156.8
VANCOUVER INT'L A,Feb-91,1991,2,143.3
VANCOUVER INT'L A,Mar-91,1991,3,106.4
VANCOUVER INT'L A,Apr-91,1991,4,111.3
VANCOUVER INT'L A,May-91,1991,5,60.2
VANCOUVER INT'L A,Jun-91,1991,6,53.6
VANCOUVER INT'L A,Jul-91,1991,7,33.6
VANCOUVER INT'L A,Aug-91,1991,8,170
VANCOUVER INT'L A,Sep-91,1991,9,8.6
VANCOUVER INT'L A,Oct-91,1991,10,27.1
VANCOUVER INT'L A,Nov-91,1991,11,192.4
VANCOUVER INT'L A,Dec-91,1991,12,95.8
VANCOUVER INT'L A,Jan-92,1992,1,281.8
VANCOUVER INT'L A,Feb-92,1992,2,87.8
VANCOUVER INT'L A,Mar-92,1992,3,25.9
VANCOUVER INT'L A,Apr-92,1992,4,126.2
VANCOUVER INT'L A,May-92,1992,5,15.8
VANCOUVER INT'L A,Jun-92,1992,6,96.4
VANCOUVER INT'L A,Jul-92,1992,7,42
VANCOUVER INT'L A,Aug-92,1992,8,23.2
VANCOUVER INT'L A,Sep-92,1992,9,48.2
VANCOUVER INT'L A,Oct-92,1992,10,103.1
VANCOUVER INT'L A,Nov-92,1992,11,168.3
VANCOUVER INT'L A,Dec-92,1992,12,117.8
VANCOUVER INT'L A,Jan-93,1993,1,103.4
VANCOUVER INT'L A,Feb-93,1993,2,11.4
VANCOUVER INT'L A,Mar-93,1993,3,115.2
VANCOUVER INT'L A,Apr-93,1993,4,126.9
VANCOUVER INT'L A,May-93,1993,5,100.8
VANCOUVER INT'L A,Jun-93,1993,6,72.2
VANCOUVER INT'L A,Jul-93,1993,7,34.3
VANCOUVER INT'L A,Aug-93,1993,8,19
VANCOUVER INT'L A,Sep-93,1993,9,2.1
VANCOUVER INT'L A,Oct-93,1993,10,73.1
VANCOUVER INT'L A,Nov-93,1993,11,63.1
VANCOUVER INT'L A,Dec-93,1993,12,162.3
VANCOUVER INT'L A,Jan-94,1994,1,112.5
VANCOUVER INT'L A,Feb-94,1994,2,108.2
VANCOUVER INT'L A,Mar-94,1994,3,103.2
VANCOUVER INT'L A,Apr-94,1994,4,65
VANCOUVER INT'L A,May-94,1994,5,39.4
VANCOUVER INT'L A,Jun-94,1994,6,70.5
VANCOUVER INT'L A,Jul-94,1994,7,27.4
VANCOUVER INT'L A,Aug-94,1994,8,18
VANCOUVER INT'L A,Sep-94,1994,9,65.6
VANCOUVER INT'L A,Oct-94,1994,10,113
